------RESULT-----

Pass-through
Pass-through query to just show input stream in the same form as we show output.
CTI    <05/03/2013 21:05:49>
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0, input2 = 1, input3 = 0, input4 = 0 }
CTI    <05/03/2013 21:05:49>
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 5.5109E-16, input3 = 1, input4 = -0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -1.837E-16, input3 = -1, input4 = 0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -2.6948E-15, input3 = -1, input4 = -0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = 0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = -0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = 0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = -0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = 0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -7.3479E-16, input2 = 1, input3 = -7.3479E-16, input4 = -1 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = -0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = -0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = -0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = 0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = 0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = -0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 3.6739E-16, input2 = -1, input3 = 3.6739E-16, input4 = 0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = 0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = 0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = -0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = 0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = 0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = -0.83147 }
CTI    <05/03/2013 21:05:49>
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 9.791E-16, input3 = 1, input4 = -0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = -4.9048E-16, input3 = 1, input4 = 0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 2.4431E-16, input3 = 1, input4 = 0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -3.4296E-15, input3 = -1, input4 = -0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -4.1644E-15, input3 = -1, input4 = 0.38268 }
